doctor,hospital,new_price,ori_price,orders,diaries
【全切双眼皮】精细切开双眼皮 大眼无痕 魅眼闪亮,北京杨仁宝医疗美容,12800.0,18800.0,118.0,152.0
【兰州衡力肉毒素】100单位 正品保障！瘦脸无需烦恼！,北京爱悦丽格医疗美容门诊部,680.0,3800.0,2281.0,272.0
【全脸自体脂肪填充】北京世熙 自体脂肪填充全面部塑造完美童颜,北京世熙医疗美容,9800.0,38000.0,697.0,837.0
【伊婉玻尿酸】1ml 面部填充好帮手~,北京悦丽汇三里屯诊所,999.0,6800.0,4609.0,276.0
"【半永久纹绣】孙伟老师亲自操作（丝雾or雾状or根状）眉毛和美瞳线二选一,免费补色一次",孙伟时尚美学半永久化妆中心,5800.0,8800.0,533.0,55.0
【鼻综合】向不完美的鼻子Say ByeBye!,北京金圣整形医疗美容,19500.0,36800.0,179.0,26.0
【鼻翼缩小】写日记最高返现4000元,宮国华医疗美容诊所,3800.0,8000.0,307.0,112.0
【硅胶隆鼻】硅胶假体取出  特价980元,北京利美康岩之畔美容门诊部,980.0,3800.0,33.0,1.0
【鼻综合】【八大处鼻整形科@王欢】全肋软骨鼻综合  初鼻,中国医学科学院整形外科医院,19000.0,45000.0,128.0,24.0
【手术缩鼻翼】名医亲诊 做的好又省钱,北京利美康岩之畔美容门诊部,2800.0,6800.0,187.0,9.0
【隆鼻】线雕鼻小柱 改善鼻头鼻尖，鼻小柱延长“鼻”你美就在一“线”之间！,北京金燕子医疗美容诊所,1980.0,12800.0,342.0,111.0
【鼻部】【鼻综合】特惠硅胶隆鼻 打造日系清新自然风美鼻 不惧揉捏,北京欧兰美（原美伊）医疗美容,4800.0,17800.0,86.0,62.0
【埋线隆鼻】【八大处@胡金天】协和医学博士 独创胡氏布线法 即刻,新氧名医汇,4600.0,4800.0,79.0,5.0
【鼻部修复】北京方舟鼻翼缩小|手术缩小鼻翼|鼻翼整形|鼻部塑形,北京方舟皮肤病医院整形美容中心,1999.0,11800.0,43.0,19.0
【鼻部】假体隆鼻+耳软骨垫鼻尖+鼻头/鼻翼缩小，名医国海军匠心打造混血鼻，威宁假体！,北京知音蕊丽医疗美容门诊部,1800.0,26800.0,114.0,62.0
私人订制 立体精雕 硅胶隆鼻 ,北京世熙医疗美容,12800.0,49800.0,127.0,137.0
【鼻部】【中日友好@薛志强】歪鼻矫正 宽鼻截骨,卫生部中日友好医院整形外科,10000.0,23000.0,107.0,5.0
【鼻部】【鼻综合】特惠线雕隆鼻 打造宛若天生美鼻,北京欧兰美（原美伊）医疗美容,1680.0,8800.0,110.0,0.0
【隆鼻】【中日友好@薛志强】艾丽薇MISKO线雕微创鼻综合,卫生部中日友好医院整形外科,9800.0,12800.0,34.0,24.0
【鼻综合】打造360度上镜小翘鼻(假体隆鼻+耳软骨垫鼻尖+鼻头缩小),北京基础美医疗美容医院,8980.0,21800.0,190.0,225.0
【隆鼻】韩式生科隆鼻,北京斯凯丽雅医疗美容诊所,5800.0,17000.0,22.0,7.0
【鼻部综合】【硅胶+耳软骨】侧脸女神从鼻部开始,北京可思美医疗美容诊所,9999.0,28000.0,9.0,0.0
【隆鼻】MISKO线雕隆鼻！给你俊俏美鼻！,北京爱斯克外科门诊部,12800.0,12800.0,36.0,8.0
【鼻部】【达拉斯鼻综合】院长亲诊 打造宛若天生美鼻 不惧揉捏@孟庆鹏院长,北京欧兰美（原美伊）医疗美容,55840.0,138000.0,91.0,11.0
【膨体隆鼻】【中日友好@薛志强】贵族美猫鼻 鼻基底填充拒绝凹陷,卫生部中日友好医院整形外科,23000.0,27800.0,51.0,13.0
【鼻部】【鼻小综合】高、挺、俏美鼻 写日记最高返现1760元,北京微美医疗美容诊所,2980.0,9800.0,68.0,17.0
【硅胶隆鼻】隆起挺翘美鼻  鼻子高一点，自信多一点——日记返现2000元,北京英煌医疗美容,6800.0,6800.0,50.0,0.0
【自体软骨隆鼻】【假体隆鼻+耳软骨垫鼻尖】 尽现翘鼻之美 赠送术后消肿护理,北京焕誉医疗美容门诊部,5980.0,19600.0,5.0,9.0
【鼻部综合】资深鼻部整形专家 日系清新自然风定制鼻综合 全网免费招募限时进行中,北京俯大医疗美容门诊部,1500.0,5800.0,59.0,8.0
【硅胶隆鼻】【硅胶隆鼻】娇俏立体美鼻你也可拥有,北京凯润婷(原史三八)医疗美容医院,3600.0,6800.0,12.0,0.0
【硅胶隆鼻】韩式生科假体 名师操作  买一送一 返现1380元,聚美仕医疗美容诊所,4800.0,12800.0,20.0,3.0
【埋线隆鼻】（线雕隆鼻）安全 快速 自然 不开刀打造完美翘鼻,北京彤美医美美容门诊部,1980.0,8800.0,22.0,0.0
【硅胶隆鼻】京通威宁假体隆鼻 手感真实 小改变get大气场,北京京通医院整形美容,1980.0,9800.0,9.0,0.0
【手术缩鼻翼】【写日记返现】宽鼻缩窄 鼻翼缩小 告别大鼻头 蒜头鼻 毫厘之间 精雕美鼻 ,北京雅韵医疗美容,6800.0,11800.0,9.0,0.0
【硅胶隆鼻】【硅胶隆鼻】正品保障 韩式生科 发表日记有机会免单,北京薇琳医疗美容医院,4980.0,8900.0,43.0,34.0
【鼻部】【鼻综合】【黄寺整形@邵祯】膨体隆鼻+耳软骨垫鼻尖，公立三甲黄寺主任主刀,新氧名医汇,18000.0,27000.0,69.0,0.0
【自体耳软骨+硅胶隆鼻】还你一个秀丽鼻挺娇俏玲珑的NOSE!,北京天使名源医疗美容诊所,4980.0,9800.0,532.0,13.0
【鼻部】专属打造“翘”“挺”“美”鼻,北京东方瑞丽医疗美容门诊部,16000.0,28000.0,15.0,115.0
【假体隆鼻】韩式隆鼻 自然挺翘，不惧捏揉！,北京莫琳娜医疗整形美容,1980.0,5800.0,68.0,76.0
【膨体隆鼻】【中日友好@薛志强】膨体/硅胶鼻综合    写日记即返2000元！！！,卫生部中日友好医院整形外科,28000.0,50000.0,283.0,113.0
【全面部整形】全切双眼皮+鼻综合+自体脂肪填充全脸  私信即送水氧活肤一次,北京美玉颜整形,19800.0,98800.0,87.0,43.0
【自体软骨隆鼻】王院长亲诊~取自身，用自身，安全无排异，不惧揉捏,北京东方瑞丽医疗美容门诊部,22000.0,38000.0,3.0,16.0
【鼻综合】【北医三院@安阳】综合鼻整形A   硅胶隆鼻+鼻中隔软骨 ,北京大学第三医院整形美容外科（北医三院）,32500.0,54000.0,89.0,87.0
【鼻综合】【北医三院@安阳】综合鼻整形D   膨体隆鼻+鼻中隔软骨 ,北京大学第三医院整形美容外科（北医三院）,35500.0,60000.0,71.0,53.0
【自体耳软骨+硅胶隆鼻】专家亲诊 美鼻优惠 又返现,北京利美康岩之畔美容门诊部,9800.0,28800.0,135.0,43.0
"【鼻部综合】塑造自然美鼻,宫风勇主刀,私信即送体验项目,日记返现",北京美莱医疗美容,15840.0,32400.0,345.0,39.0
【鼻综合】【八大处@刘暾】八大处最优惠~全肋软骨综合隆鼻,新氧名医汇,19400.0,39000.0,44.0,7.0
【埋线隆鼻】鼻部埋线提升，打造立体高挺鼻,新氧云诊所北京水研店（原恒爱店）,4000.0,6800.0,14.0,12.0
【鼻综合】【学生凭证享受特价】1980元起，北医三院3甲名医，整形硕士主刀，日记返全款！,北京龙泽日盛医疗美容,1980.0,9800.0,40.0,53.0
【鼻综合】纯真皮鼻综合或真皮包裹假体鼻综合,北京斯嘉丽医疗美容,19800.0,98000.0,54.0,33.0
【鼻综合】【八大处@解芳】肋软骨鼻综合,中国医学科学院整形外科医院,17500.0,35000.0,49.0,0.0
【鼻部】【鼻综合】【八大处@刘珍君】立体精雕 芭比小翘鼻立体精雕,新氧名医汇,11000.0,24000.0,27.0,0.0
【鼻综合】改变你的发财命，沈玲伟业做兜财富鼻,北京沈玲伟业医疗美容门诊部,10000.0,50000.0,62.0,27.0
【鼻综合】【免费招募模特/限3名】艺人3D立体翘挺鼻综合  悄然变美,宮国华医疗美容诊所,19800.0,59000.0,40.0,65.0
【硅胶隆鼻】北京金燕子生科隆鼻 自然高挺更迷人,北京金燕子医疗美容诊所,5800.0,17800.0,51.0,33.0
【隆鼻】360上镜小翘鼻(假体隆鼻+耳软骨鼻尖+鼻尖缩小+鼻翼缩小),北京基础美医疗美容医院,11999.0,38000.0,34.0,11.0
【鼻综合】【八大处@王克明】宛若天生高挺美鼻，肋软骨隆鼻来帮你,新氧公立医生运营部,32000.0,37000.0,51.0,10.0
【自体耳软骨+硅胶隆鼻】北京基础美假体隆鼻+耳软骨垫鼻尖7800,北京基础美医疗美容医院,7800.0,11800.0,44.0,1.0
【鼻部】硅胶/膨体/鼻综合  量身打造精致小翘鼻 ,唯颜时代医疗美容诊所,2380.0,6600.0,9.0,0.0
【鼻部】【鼻综合】【八大处@王冰清】硅胶鼻综合，发案例即返1000。,中国医学科学院整形外科医院,12980.0,18000.0,29.0,2.0
【硅胶隆鼻】北京焕誉经典假体隆鼻 轻松打造俏丽美鼻! 发日记返1200  赠“术后消肿护理”,北京焕誉医疗美容门诊部,3880.0,8800.0,19.0,19.0
【隆鼻】塑造理想鼻型  改善鼻部形态,北京邱立东医疗美容诊所,1999.0,5800.0,48.0,4.0
【硅胶隆鼻】四维五度精细雕塑真鼻美雕,北京叶美人医疗美容诊所,35800.0,69800.0,33.0,39.0
【鼻综合】生态美鼻女性挺秀之美 男生帝王之相  私信即送水氧活肤一次,北京美玉颜整形,12800.0,38000.0,53.0,49.0
【埋线隆鼻】PTL无痕线调隆鼻 无需开刀 恢复快速 写日记返现30%治疗费！,北京紫洁（俪方）医疗美容诊所,3900.0,12800.0,6.0,0.0
【手术缩鼻头】【写日记高额返现】鼻头缩小术，再不被叫大鼻头,北京知音整形,6800.0,9800.0,1.0,0.0
【手术缩鼻翼】【写日记返现】鼻孔缩小 告别猪猪鼻 打造精致小翘鼻,北京雅韵医疗美容,6800.0,11800.0,1.0,0.0
【自体软骨隆鼻】【写日记高额返现】鼻基底填充术 打造你的贵妇范,北京知音整形,980.0,9800.0,1.0,0.0
【手术延长鼻小柱】【写日记高额返现】短鼻变美鼻，颜值加十分,北京知音整形,980.0,9800.0,7.0,0.0
【手术缩鼻翼】【写日记高额返现】鼻翼缩小术，大肥鼻再也不见,北京知音整形,6800.0,9800.0,6.0,0.0
【鼻部】【写日记高额返现】朝天鼻矫正术，快速甩掉猪鼻子称号,北京知音整形,20800.0,29800.0,8.0,0.0
【鹰钩鼻矫正】【写日记高额fan'xian】鹰钩鼻矫正术，凶狠印象变温柔,北京知音整形,20800.0,29800.0,4.0,0.0
【自体软骨垫鼻尖】【写日记高额返现】自体软骨垫鼻尖，美鼻尖get攻略,北京知音整形,980.0,9800.0,3.0,0.0
【驼峰鼻矫正】【写日记高额返现】驼峰鼻矫正术 明星范的美鼻精雕术,北京知音整形,20800.0,29800.0,3.0,0.0
【鼻部】【写日记高额返现】艺术4D隐形翘鼻综合，观若自生，触似天成,北京知音整形,36800.0,49800.0,8.0,0.0
【自体软骨隆鼻】【写日记高额返现】鼻梁抬高术 拜拜塌鼻子 get立体翘鼻,北京知音整形,980.0,9800.0,2.0,0.0
【自体软骨垫鼻尖】【写日记返现】鼻尖抬高、延长 拒绝肥 平 厚 我的鼻尖我我做主,北京雅韵医疗美容,980.0,8000.0,7.0,0.0
【手术缩鼻头】【写日记返现】鼻头缩小 打造可爱翘鼻 谁说小就不美了,北京雅韵医疗美容,6800.0,11800.0,2.0,0.0
【手术缩鼻翼】【写日记返现】鼻翼缩小 不要大鼻孔 打造可在翘鼻 ,北京雅韵医疗美容,6800.0,11800.0,9.0,0.0
【鼻部修复】【写日记返现】专业鼻修复 雅韵祝你重获新生,北京雅韵医疗美容,35000.0,68000.0,10.0,0.0
【驼峰鼻矫正】【写日记返现】告别驼峰鼻 定制专属完美鼻型,北京雅韵医疗美容,20800.0,48000.0,5.0,0.0
【膨体隆鼻】【写日记返现】鼻基底抬高 打造开运富贵鼻,北京雅韵医疗美容,980.0,8000.0,6.0,0.0
【长鼻矫正】【写日记返现】朝天鼻矫正 告别猪鼻子 定制专属你的美鼻,北京雅韵医疗美容,20800.0,48000.0,1.0,0.0
【鼻部综合】【写日记返现】翘鼻整形 拯救你的塌鼻子 拒绝短、塌、斜、下垂,北京雅韵医疗美容,36800.0,69800.0,55.0,0.0
【鹰钩鼻矫正】【写日记返现】改善鹰钩鼻 俏丽美鼻 个性定制独特美,北京雅韵医疗美容,20800.0,48000.0,2.0,0.0
【手术延长鼻小柱】【写日记返现】鼻小柱拯救计划 缩短、延长 个性定制立体美鼻,北京雅韵医疗美容,980.0,11800.0,4.0,0.0
【硅胶隆鼻】【师生季】合资硅胶假体隆鼻特惠1300，打造完美小翘鼻,北京伊美尔幸福医疗美容医院,1300.0,3600.0,0.0,0.0
【硅胶隆鼻】【师生季】合资硅胶假体隆鼻特惠1300，打造完美小翘鼻,北京伊美尔医疗美容医院,1300.0,3600.0,0.0,0.0
【硅胶隆鼻】精雕假体隆鼻，特惠来袭，伊美尔品质保障,北京伊美尔幸福医疗美容医院,1800.0,3600.0,10.0,0.0
【假体隆鼻】【假体隆鼻】艳冠假体 立体自然 手感柔软 无惧揉捏  ,北京薇琳医疗美容医院,2580.0,4800.0,36.0,0.0
【硅胶隆鼻】高端合资假体隆鼻 无惧揉捏 俊俏立挺,北京伊美尔医疗美容医院,1800.0,3600.0,3.0,0.0
【硅胶隆鼻】私人订制假体or耳软骨隆鼻 告别矮塌鼻 让鼻子更加挺翘,北京方舟皮肤病医院整形美容中心,6800.0,29800.0,0.0,0.0
【鼻部】失败从此不可怕，鼻注射物取出术，帮你重拾信心,北京亚楠容悦医疗美容诊所,6800.0,8800.0,0.0,0.0
【鼻部】失败从此不可怕，鼻膨体取出术，帮你重拾信心,北京亚楠容悦医疗美容诊所,5800.0,7800.0,0.0,0.0
【鼻部】失败从此不可怕，鼻硅胶取出术，帮你重拾信心,北京亚楠容悦医疗美容诊所,3800.0,4800.0,0.0,0.0
【鼻部】【全肋鼻综合】全面改善鼻部形态，打造娇俏美鼻,北京亚楠容悦医疗美容诊所,68800.0,88800.0,0.0,0.0
【鼻部】【半肋鼻综合】全面改善鼻部形态，打造娇俏美鼻,北京亚楠容悦医疗美容诊所,48800.0,68800.0,0.0,0.0
【驼峰鼻矫正】矫正III度驼峰鼻，改善鼻部形态,北京亚楠容悦医疗美容诊所,19800.0,25800.0,0.0,0.0
【驼峰鼻矫正】矫正II度驼峰鼻，改善鼻部形态,北京亚楠容悦医疗美容诊所,15800.0,19800.0,0.0,0.0
【驼峰鼻矫正】矫正I度驼峰鼻，改善鼻部形态,北京亚楠容悦医疗美容诊所,5800.0,8800.0,0.0,0.0
【鹰钩鼻矫正】矫正鹰钩鼻，改善鼻部形态,北京亚楠容悦医疗美容诊所,13800.0,15800.0,0.0,0.0
【手术缩鼻翼】【鼻翼缩窄】缩窄宽大鼻翼，打造精致美鼻,北京亚楠容悦医疗美容诊所,7800.0,9800.0,0.0,0.0
【宽鼻矫正】【宽鼻缩窄】缩窄宽大鼻梁，让你的鼻子更精致,北京亚楠容悦医疗美容诊所,15800.0,19800.0,0.0,0.0
【自体软骨垫鼻尖】【耳软骨鼻尖】自体耳软骨垫鼻尖，精致鼻尖美丽重现,北京亚楠容悦医疗美容诊所,7800.0,8800.0,0.0,0.0
【膨体隆鼻】【进口高泰克斯膨体】雕刻细腻 稳固贴合 鼻部轮廓更立体感,北京亚楠容悦医疗美容诊所,22800.0,25800.0,0.0,0.0
【膨体隆鼻】【合资立秀膨体】雕刻细腻 稳固贴合 鼻部轮廓更立体感,北京亚楠容悦医疗美容诊所,16800.0,19800.0,0.0,0.0
【硅胶隆鼻】【进口韩式生科硅胶】雕刻细腻 稳固贴合 鼻部轮廓更立体感,北京亚楠容悦医疗美容诊所,9800.0,15800.0,0.0,0.0
【硅胶隆鼻】【合资万和硅胶】雕刻细腻 稳固贴合 鼻部轮廓更立体感,北京亚楠容悦医疗美容诊所,7800.0,9800.0,0.0,0.0
【硅胶隆鼻】【限时特价康宁硅胶】雕刻细腻 稳固贴合 鼻部轮廓更立体感,北京亚楠容悦医疗美容诊所,3200.0,6800.0,0.0,0.0
【鼻部】4D隆鼻 轻松立体五官 塑中国人美 造东方魅力,北京诺俪医疗美容诊所,9800.0,18000.0,100.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形A   硅胶隆鼻+鼻中隔软骨 ,北京诺俪医疗美容诊所,32500.0,54000.0,11.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】 综合鼻整形C   膨体隆鼻+自体耳软骨 ,北京诺俪医疗美容诊所,21000.0,33000.0,15.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形F  硅胶隆鼻+肋软骨  ,北京诺俪医疗美容诊所,35500.0,66000.0,15.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形D   膨体隆鼻+鼻中隔软骨 ,北京诺俪医疗美容诊所,35500.0,60000.0,9.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形G  膨体隆鼻+肋软骨 ,北京诺俪医疗美容诊所,39500.0,72000.0,54.0,0.0
【膨体隆鼻】【北医三院@安阳】单纯隆鼻,北京诺俪医疗美容诊所,7000.0,13000.0,26.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形E  肋软骨隆鼻 ,北京诺俪医疗美容诊所,42000.0,76000.0,16.0,0.0
【手术缩鼻翼】【北医三院@安阳】鼻翼缩小,北京诺俪医疗美容诊所,7000.0,9000.0,28.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形D 膨体隆鼻+鼻中隔软骨 +全脸脂肪填充,北京诺俪医疗美容诊所,55300.0,76000.0,17.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】 综合鼻整形B   自体耳软骨+硅胶隆鼻,北京诺俪医疗美容诊所,17500.0,27000.0,11.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形H ,北京诺俪医疗美容诊所,29800.0,46000.0,32.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】综合鼻整形I,北京诺俪医疗美容诊所,32000.0,52000.0,10.0,0.0
【膨体隆鼻】【北医三院@安阳】膨体隆鼻,北京诺俪医疗美容诊所,10000.0,19000.0,37.0,0.0
【鼻部】【鼻综合】【北医三院@安阳】肋软骨隆鼻+全面部脂肪填充，打造混血女神,北京诺俪医疗美容诊所,61800.0,81000.0,14.0,0.0
【鼻综合】【北医三院@安阳】综合鼻整形F  硅胶隆鼻+肋软骨  ,北京大学第三医院整形美容外科（北医三院）,35500.0,66000.0,25.0,34.0
【鼻部】【鼻综合整形】Yestar艺星明星院长王英勇亲诊，塑美鼻综合整形，火爆开抢！,北京艺星医疗美容医院,3680.0,9800.0,0.0,0.0
【膨体隆鼻】【北京黄寺@杜太超】中国好鼻子 杜太超专家团队打造,北京美丽有约医疗美容,27000.0,30000.0,458.0,421.0
【鼻综合】【北医三院@安阳】综合鼻整形E  肋软骨隆鼻 ,北京大学第三医院整形美容外科（北医三院）,42000.0,76000.0,52.0,16.0
【硅胶隆鼻】假体隆鼻 告别塌塌鼻 高挺美鼻 提升气质,北京南加整形,3200.0,8800.0,4.0,35.0
【鼻部】私人定制鼻综合东方混血儿欧式隆鼻术写日记返现还送韩国小气泡,北京卓艺医疗美容诊所,32800.0,48000.0,5.0,0.0
【隆鼻】【恒生6GR线雕隆鼻】 非手术成就高“鼻”格！,北京丽港医疗美容诊所,5800.0,13800.0,9.0,1.0
【鼻部】免费招募模特（限3名）艺人4D翘挺鼻综合，秀出完美侧颜,北京京民医院,4800.0,6800.0,30.0,15.0
【硅胶隆鼻】著名专家宫风勇主刀，私信留电送体验项目，日记返现2000元,北京美莱医疗美容,4800.0,6800.0,27.0,0.0
【鼻部综合】达拉斯全肋软骨综合隆鼻，刘金华院长主刀，私信即送体验项目，日记返现2000元,北京美莱医疗美容,58000.0,78000.0,51.0,0.0
【驼峰鼻矫正】【歪鼻矫正+截骨】还你完美鼻型 新美丽邦@崔鹏,北京新美丽邦医疗美容诊所,9000.0,23000.0,51.0,0.0
【膨体隆鼻】【膨体隆鼻】鼻基底填充  拒绝凹陷 新美丽邦@崔鹏,北京新美丽邦医疗美容诊所,20800.0,27800.0,36.0,0.0
【鼻部】【鼻综合】硅胶鼻综合 塑造自然美鼻 新美丽邦@崔鹏,北京新美丽邦医疗美容诊所,18000.0,28000.0,43.0,0.0
【硅胶隆鼻】【师生季】打造小翘鼻，合资假体隆鼻+耳软骨隆鼻尖,北京伊美尔医疗美容医院,9380.0,13400.0,0.0,0.0
【鼻翼缩小】拒绝大鼻翼 塑造协调鼻部！切口隐蔽 悄悄变美鼻！,北京爱斯克外科门诊部,5800.0,8800.0,10.0,2.0
【硅胶隆鼻】【师生季】打造小翘鼻，合资假体隆鼻+耳软骨隆鼻尖,北京伊美尔幸福医疗美容医院,9380.0,13400.0,0.0,0.0
【鼻综合】【北医三院@安阳】综合鼻整形D 膨体隆鼻+鼻中隔软骨 +全脸字体脂肪填充,北京大学第三医院整形美容外科（北医三院）,55300.0,76000.0,42.0,0.0
【硅胶隆鼻】7周年庆典大力度，（合资威宁硅胶）隆鼻优惠价格1680！,北京亚馨美莱坞（原北京张海明整形美容门诊部）,1680.0,5800.0,33.0,2.0
【鼻部】【鼻综合】肋软骨综合鼻整形 新美丽邦@崔鹏,北京新美丽邦医疗美容诊所,38000.0,84000.0,42.0,0.0
【鼻部】【线雕微创隆鼻】提升鼻部曲线 塑造高挺五官 新美丽邦@崔鹏,北京新美丽邦医疗美容诊所,8800.0,12800.0,74.0,0.0
【硅胶隆鼻】院长亲诊，精雕美鼻,北京和谐美丽汇医疗美容诊所,6800.0,99000.0,2.0,0.0
【硅胶隆鼻】韩式小翘鼻 俏鼻一挺 气质立现 你本来就该很美！,北京欧扬医疗美容门诊部,4980.0,15800.0,53.0,0.0
【鼻部】无痕，隐秘小切口，正规材质，艺术精雕,北京丽星整形,9800.0,17600.0,9.0,12.0
【硅胶隆鼻】享高额返现！康宁假体隆鼻，勾勒最美鼻型,北京悦芳亚医疗美容门诊部,3000.0,5800.0,5.0,0.0
【硅胶隆鼻】享高额返现！韩式生科三段式假体隆鼻 打造网红气质美鼻,北京悦芳亚医疗美容门诊部,4000.0,11800.0,44.0,0.0
【鼻综合】享高额返现！采用进口鼻材 综合打造俏丽美鼻,北京悦芳亚医疗美容门诊部,10000.0,34800.0,48.0,0.0
【鼻综合】享高额返现！私人定制综合美鼻 彰显女王气质,北京悦芳亚医疗美容门诊部,8900.0,18800.0,50.0,0.0
【鼻综合】享高额返现！精致综合隆鼻  纵享浑然天成的美丽,北京悦芳亚医疗美容门诊部,10000.0,34800.0,34.0,0.0
【埋线隆鼻】不开刀 非手术解决鼻综合问题，提翘鼻尖，挺拔山根,北京丽星整形,3699.0,18000.0,6.0,0.0
【硅胶隆鼻】【硅胶隆鼻】无痕，隐秘小切口，正规材质，艺术精雕,北京丽星整形,4800.0,8800.0,5.0,6.0
【鼻部】【硅胶假体取出】北医三院3甲名医，整形硕士主刀，【限时特惠】1580元,北京龙泽日盛医疗美容,1580.0,3600.0,0.0,0.0
【鼻部】真皮隆鼻或真皮包裹假体隆鼻打版模特9800元,北京斯嘉丽医疗美容,9800.0,98000.0,0.0,0.0
【鼻部】纯真皮鼻综合或真皮包裹假体鼻综合,北京斯嘉丽医疗美容,98000.0,198000.0,0.0,0.0
【鼻翼缩小】【北京鼻翼缩小】省钱又省心【首次体验】,北京长虹医疗美容医院,12800.0,15800.0,38.0,0.0
【硅胶隆鼻】【进口硅胶隆鼻,北京长虹医疗美容医院,9800.0,12800.0,42.0,0.0
【硅胶隆鼻】（国产）硅胶假体隆鼻,北京长虹医疗美容医院,3800.0,5800.0,62.0,0.0
【自体耳软骨+硅胶隆鼻】打造完美鼻部曲线 院长亲自手术 秒变侧颜女神,北京雅靓医疗美容诊所,5800.0,29800.0,66.0,12.0
【硅胶隆鼻】（假体隆鼻） 打造韩星自然美鼻 不当路人女生 逆袭美鼻女神,北京彤美医美美容门诊部,3800.0,9800.0,9.0,0.0
【硅胶隆鼻】【十六周年特惠】【假体隆鼻】当代网红混血小翘鼻,北京当代医疗美容门诊部,3800.0,6800.0,8.0,5.0
【鼻综合】【十六周年特惠】雕刻鼻部完美比例【写日记返现金】,北京当代医疗美容门诊部,19800.0,68000.0,48.0,0.0
【鼻综合】金字塔力学隆鼻   鼻型自然不惧揉捏,北京柏丽医疗美容门诊部,48000.0,78000.0,21.0,29.0
【硅胶隆鼻】【八大处@刘暾】硅胶假体鼻综合,新氧名医汇,16000.0,17800.0,97.0,27.0
【埋线隆鼻】4D hlx活力线雕隆鼻 非手术隆鼻 不止挺拔 ,北京金燕子医疗美容诊所,3800.0,8800.0,0.0,0.0
【鼻部修复】【北京黄寺@杜太超】 公立整形三甲主任，重塑鼻型，还你完美鼻子,北京美丽有约医疗美容,50000.0,80000.0,103.0,0.0
